Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.8144,-30.9118,-90.0,top
C2,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.6432,-30.9118,-90.0,top
C3,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,79.121,-55.118,177.0,top
C4,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,65.659,-60.325,87.0,top
C5,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.382,-87.757,180.0,top
C6,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,130.429,-74.168,-90.0,top
C7,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.0364,-38.9393,180.0,top
C8,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.763,-42.291,180.0,top
C9,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.9104,-48.4378,-90.0,top
C10,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.0872,-43.2054,180.0,top
C11,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.624,-68.199,-90.0,top
C12,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.8168,-68.199,-90.0,top
C13,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.0872,-41.0718,0.0,top
C14,0.047u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.763,-39.751,0.0,top
D1,M7C,D_SOD-123,112.776,-26.162,180.0,top
D3,M7C,D_SOD-123,63.373,-70.993,90.0,top
F1,Fuse,Fuse_1206_3216Metric,53.086,-77.089,180.0,top
Q1,Q_NMOS_GSD,SOT-23,56.261,-71.628,90.0,top
Q2,Q_PMOS_GDS,SOT-23,58.928,-77.089,180.0,top
Q3,Q_NMOS_GSD,SOT-23,51.9684,-71.501,270.0,top
R1,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,93.726,-48.4378,-90.0,top
R2,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.0872,-45.2374,0.0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,164.338,-68.199,90.0,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.1028,-68.199,90.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.708,-32.131,-90.0,top
R6,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,74.422,-32.131,90.0,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.071,-71.501,90.0,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.994,-32.131,-90.0,top
R9,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,81.026,-32.131,90.0,top
